substance_id,substance_name,as_cas_number,substance_status,approval_date,expiry_date,risk_assessment,substance_category,as_is_group,as_micro_org,rms,corms,remark,legislations_old,legislations_actives,tox_value_adi,tox_source_adi,tox_remark_adi,tox_value_arfd,tox_sourc_earfd,tox_source_earfd,tox_remark_arfd,tox_value_aoel,tox_source_aoel,tox_remark_aoel,tox_value_aaoel,tox_source_aaoel,tox_remark_aaoel,tox_value_other,tox_source_other,tox_remark_other,authorisations_at_nat_level,classification_reg_1272,ac_type,basic_substance,low_risk_active_substance,candidate_for_substitution,candidate_for_substitution_type,active_substance_part_of_group,active_substance_part_of_group_id,as_member_id,as_member_name,pesticide_residue_linked,pest_res_linked_annex,pest_res_linked_legislation,pest_res_linked_legislation_url,pest_res_mrl_webpage
868,Dimoxystrobin,149961-52-4,Not approved,01/10/2006,31/07/2023,EFSA,FU - Fungicide,No,No,HU,IE,<p>The original RMS was the UK.</p>,"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1542882404927&uri=CELEX:32018R1796"">Reg. (EU) 2018/1796</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1575892902511&uri=CELEX:32019R2094"">Reg. (EU) 2019/2094</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R1136:EN:NOT"">Reg. (EU) No 1136/2013</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1517904431471&uri=CELEX:32018R0084"">Reg.(EU) 84/2018</a>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32006L0075:EN:NOT"">Dir 06/75/EC</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/1436/oj"">Reg. (EU) 2023/1436</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",0.015 mg/kg bw/day,Reg. (EU) 2023/1436,,0.04 mg/kg bw,Reg. (EU) 2023/1436,Reg. (EU) 2023/1436,,0.007 mg/kg bw/day,Reg. (EU) 2023/1436,,0.018 mg/kg bw,Reg. (EU) 2023/1436,,,,,,Acute Tox. 4 - H332; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; Carc. 2 - H351; Repr. 2 - H361d,3,No,No,Yes,low ADI / ARfD / AOEL,,,,,Dimoxystrobin ,Annex III,Reg. (EU) No 897/2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R0897:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=282
635,Diflufenican,83164-33-4 ,Approved,01/01/2009,31/08/2027,EFSA,,No,No,CZ,,<p>The original RMS was UK.</p>,"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1542882404927&uri=CELEX:32018R1796"">Reg. (EU) 2018/1796</a>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0066:EN:NOT"">2008/66</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1569849607755&uri=CELEX:32019R1589"">Reg. (EU) 2019/1589</a>; <a href=""http://data.europa.eu/eli/reg_impl/2021/1449/oj"">Reg. (EU) 2021/1449</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1480/oj"">Reg. (EU) 2022/1480</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/2592/oj"">Reg. (EU) 2023/2592</a>; <a href=""http://data.europa.eu/eli/reg_impl/2025/2316/oj"">Reg. (EU) 2025/2316</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",0.2 mg/kg bw/day,Dir 08/66,,Not appl.,Dir 08/66,Dir 08/66,,0.11 mg/kg bw/day,Dir 08/66,,,,,,,,"AT, BE, BG, CY, CZ, DE, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK",Aquatic Chronic 3 - H412,3,No,No,Yes,two PBT criteria,,,,,Diflufenican ,Annex II,Reg. (EU) 2015/603,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1430321555985&uri=CELEX:32015R0603,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=278
1214,Dimethoate,60-51-5,Not approved,01/10/2007,30/06/2019,EFSA,IN - Insecticide,No,No,IT,BG,"p>The original RMS was the UK.</p><p><br></p><p><br></p><p><a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1568375649074&uri=CELEX:32019R1090R(01)"" rel=""noopener noreferrer"" target=""_blank"">CORRIGENDA</a></p><p>Grace period for plant protection products used on cherries: 30 September 2019</p><p>Grace period for&nbsp;plant protection products used on other crops: 30&nbsp;June 2020</p><p>Withdrawal of authorisations: 31&nbsp;December 2019</p><p><br>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007L0025:EN:NOT"">07/25/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1530259345421&uri=CELEX:32018R0917"">Reg. (EU) 2018/917</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1557499937583&uri=CELEX:32019R0707"">Reg. (EU) 2019/707</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>","<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1562078470492&uri=CELEX:32019R1090"">Reg. (EU) 2019/1090</a>",,Reg (EU) 2019/1090,Not set due to insufficient data,,Reg (EU) 2019/1090,Reg (EU) 2019/1090,Not set due to insufficient data,,Reg (EU) 2019/1090,Not set due to insufficient data,,,,,,,,Acute Tox. 4 - H302; Acute Tox. 4 - H312,3,No,No,Yes,low ADI / ARfD / AOEL,,,,,Dimethoate,Annex V,Reg. (EC) No 149/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0149:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=76
229,Indoxacarb,173584-44-6,Not approved,01/04/2006,19/12/2021,COM,IN - Insecticide,No,No,FR,ES,<p>The original RMS was the Netherlands.</p><p>Grace period granted by Member States shall expire by 19/09/2022</p>,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32006L0010:EN:NOT"">06/10/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1505911130555&uri=CELEX:32017R1511"">Reg. (EU) 2017/1511</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1537974747851&uri=CELEX:32018R1262"">Reg. (EU) 2018/1262</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1569849607755&uri=CELEX:32019R1589"">Reg. (EU) 2019/1589</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0533:EN:NOT"">Reg. (EU) No 533/2013</a>","<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1603180526907&uri=CELEX:32020R1511"">Reg. (EU) 2020/1511</a>; <a href=""http://data.europa.eu/eli/reg_impl/2021/1449/oj"">Reg. (EU) 2021/1449</a>; <a href=""http://data.europa.eu/eli/reg_impl/2021/2081/oj"">Reg. (EU) 2021/2081</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",0.005 mg/kg bw/day,Reg. (EU) 2021/2081,Review Report Non Renewal 2021,0.005 mg/kg bw,Reg. (EU) 2021/2081,Reg. (EU) 2021/2081,Review Report Non Renewal 2021,0.003 mg/kg bw/day,Reg. (EU) 2021/2081,Review Report Non Renewal 2021,0.003 mg/kg bw,Reg. (EU) 2021/2081,Review Report Non Renewal 2021,,,,,Acute Tox. 3 - H301; Acute Tox. 4 - H332; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; STOT RE 1 - H372; Skin Sens. 1B - H317,,No,No,No,,,,,,Indoxacarb (sum of indoxacarb and its R enantiomer),Annex II,Reg. (EC) No 459/2010,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32010R0459:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=132
354,"(Z,Z)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,IT,FR,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,EL,,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,355,"(E,E)-8,10-Dodecadien-1-yl acetate (SCLP Acetates)",Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
882,Milbemectin,See note,Approved,16/11/2025,15/11/2040,EFSA,IN - Insecticide,No,No,DE,NL,<p>The original RMS was the Netherlands.</p><p>CAS :</p><p>Milbemectin A3: 51596-10-2</p><p>Milbemectin A4: 51596-11-3</p>,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32005L0058:EN:NOT"">05/58/EC</a>","<a href=""http://data.europa.eu/eli/reg_impl/2025/2068/oj"">Reg (EU) 2025/2068</a>; <a href=""http://data.europa.eu/eli/reg_impl/2025/99/oj"">Reg. (EU) 2025/99</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",0.007 mg/kg bw/day,Reg. (EU)  2025/2068,,0.03 mg/kg bw,Reg. (EU)  2025/2068,Reg. (EU)  2025/2068,,0.014 mg/kg bw/day,Reg. (EU)  2025/2068,,0.014 mg/kg bw,Reg. (EU)  2025/2068,,,,,"AT, BE, BG, CY, CZ, DE, EL, ES, FR, HR, HU, IT, LU, MT, NL, NO, PL, PT, SE, SI",Acute Tox. 4 - H302; Acute Tox. 4 - H332; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410,,No,No,No,,,,,,"Milbemectin (sum of milbemycin A4 and milbemycin A3, expressed as milbemectin)",Annex II,Reg. (EC) No 149/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0149:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=162
352,"(E,E)-7,9-Dodecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,IT,,"<p>CAS, other source than ECHA: 54364-63-5</p>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/708/oj"">Reg. (EU) 2022/708</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,"EL, ES, IT",,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,1498,Hexadecyl acetate (SCLP Acetates),Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
1215,Beauveria bassiana strains ATCC 74040 and GHA,No CAS allocated,Approved,01/05/2009,15/09/2027,EFSA,,No,Yes,DE,,"<p>Substance fulfilling criteria Annex VI Reg. 2229/2004</p><p><br></p><p>We are currently updating the EU Pesticides Database to display each microorganism strain individually; whilst this update is being implemented, some entries may appear twice (individually and as part of a group)</p>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0113:EN:NOT"">2008/113</a>","<a href=""http://data.europa.eu/eli/reg_impl/2023/689/oj"">Reg. (EU) 2023/689</a>; <a href=""http://data.europa.eu/eli/reg_impl/2025/1489/oj"">Reg. (EU) 2025/1489</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",Not appl.,EFSA 2013,,Not appl.,EFSA 2013,EFSA 2013,,Not appl.,EFSA 2013,,,,,,,,"HU, LU",,,No,No,No,,,,,,Beauveria bassiana strain GHA,Annex IV,Reg. (EU) 2016/439,http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0439,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=2427
277,Mancozeb,8018-01-7,Not approved,01/07/2006,04/01/2021,EFSA,FU - Fungicide,No,No,EL,,<p>The original RMS was Italy.</p><p><br></p><p>The previous RMS was UK.</p><p>Withdrawal of authorisations: by 4 July 2021</p><p>Maximun Grace Period: 4 January 2022</p>,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32005L0072:EN:NOT"">05/72/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1542882404927&uri=CELEX:32018R1796"">Reg. (EU) 2018/1796</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1575892902511&uri=CELEX:32019R2094"">Reg. (EU) 2019/2094</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1517904431471&uri=CELEX:32018R0084"">Reg. (EU) 84/2018</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0762:EN:NOT"">Reg. (EU) No 762/2013</a>","<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32020R2087&qid=1608132304092"">Reg. (EU) 2020/2087</a>",0.023 mg/kg bw/day,Reg. (EU) 2020/2087,,0.15 mg/kg bw,Reg. (EU) 2020/2087,Reg. (EU) 2020/2087,,0.011 mg/kg bw/day,Reg. (EU) 2020/2087,,0.075 mg/kg bw,Reg. (EU) 2020/2087,,,,,,Aquatic Acute 1 - H400; Repr. 2 - H361d; Skin Sens. 1 - H317,,No,No,No,,,,,,"Dithiocarbamates (dithiocarbamates expressed as CS2, including maneb, mancozeb, metiram, propineb, thiram and ziram)",Annex II,Reg. (EC) No 839/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0839:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=83
316,Alkyl mercury compounds,No CAS allocated,Not approved,,,,,No,No,,,<p>Banned</p>,,,,,,,,,,,,,,,,,,,,Acute Tox. 1 - H310; Acute Tox. 2 - H300; Acute Tox. 2 - H330; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; STOT RE 2 - H373,,No,No,No,,,,,,Mercury compounds (sum of mercury compounds expressed as mercury),Annex III,Reg. (EC) No 149/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0149:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=149
526,Chlorantraniliprole,500008-45-7,Approved,01/05/2014,31/05/2027,EFSA,,No,No,IE,DE,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007D0560:EN:NOT"">2007/560/EC</a>","<a href=""http://eur-lex.europa.eu/eli/reg_impl/2018/155/oj"">Reg. (EU) 2018/155</a>; <a href=""https://eur-lex.europa.eu/eli/reg_impl/2020/2007/oj"">Reg. (EU) 2020/2007</a>; <a href=""http://data.europa.eu/eli/reg_impl/2024/2781/oj"">Reg. (EU) 2024/2781</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R1199:EN:NOT"">Reg. (EU) No 1199/2013</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>",1.56 mg/kg bw/day,EFSA 2013,,Not appl.,EFSA 2013,EFSA 2013,,0.36 mg/kg bw/day,EFSA 2013,,,,,,,,"AT, BE, BG, CY, CZ, DE, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, SI, SK",,,No,No,No,,,,,,Chlorantraniliprole (DPX E-2Y45),Annex III,Reg. (EU) No 978/2011 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0978:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=771
1110,Quintozene,82-68-8,Not approved,,,,FU - Fungicide,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32000D0816:EN:NOT"">00/816/EC</a>",0.01 mg/kg bw/day,ECCO 2000,,Not appl.,ECCO 2000,ECCO 2000,,,,,,,,,,,,Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410; Skin Sens. 1 - H317,,No,No,No,,,,,,Quintozene (sum of quintozene and pentachloro-aniline expressed as quintozene),Annex II,Reg. (EU) No 899/2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R0899:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=202
1496,(Z)-7-dodecen-1-yl acetate (SCLP Actetates),No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,,,,,"<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,,,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,1241,"(E,Z)-3,8-Tetradecadien-1-yl acetate (SCLP Acetates)",Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
612,Diazinon,333-41-5,Not approved,,,,IN - Insecticide,No,No,,,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007D0393:EN:NOT"">2007/393</a>",0.0002 mg/kg bw/day,EFSA 06,,0.025 mg/kg bw,EFSA 06,EFSA 06,,0.0002 mg/kg bw/day,EFSA 06,,,,,,,,,Acute Tox. 4 - H302; Aquatic Acute 1 - H400; Aquatic Chronic 1 - H410,,No,No,No,,,,,,Diazinon ,Annex II,Reg. (EU) No 834/2013,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0834:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=72
353,"(Z,E)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,IT,FR,"<p>CAS, other source than ECHA: 51606-94-4</p>","<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,EL,,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,837,Dodecyl acetate (SCLP Acetates),Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
832,Carbaryl,63-25-2,Not approved,,,,IN - Insecticide,No,No,,,,,"<a href=""http://data.europa.eu/eli/dec/2007/355/oj"">2007/355</a>",0.0075 mg/kg bw/day,EFSA 06,,0.01 mg/kg bw,EFSA 06,EFSA 06,,0.01 mg/kg bw/day,EFSA 06,,,,,,,,,Acute Tox. 4 - H302; Acute Tox. 4 - H332; Aquatic Acute 1 - H400; Carc. 2 - H351,,No,No,No,,,,,,Carbaryl ,Annex III,Reg. (EC) No 149/2008,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008R0149:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=37
368,(Z)-11-Tetradecen-1-yl acetate (SCLP Acetates),20711-10-8,Approved,01/09/2022,30/08/2037,EFSA,AT - Attractant,No,No,AT,,,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>","<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>",,,,,,,,,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EL, ES, FI, FR, HU, IT, NL, PL, SE",,2,No,Yes,No,,Straight Chain Lepidopteran Pheromones (SCLPs) - Acetates,1530,374,(Z)-8-Dodecen-1-yl acetate (SCLP Actetates),Straight Chain Lepidopteran Pheromones (SCLP),Annex IV,Reg. (EU) 2023/1719,http://data.europa.eu/eli/reg/2023/1719/oj,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=3350
1024,Isopyrazam,881685-58-1,Not approved,01/04/2013,08/06/2022,EFSA,FU - Fungicide,No,No,NO,EL,<p>Authorisations for plant protection products should be withdrawn by 8 September 2022; any grace period granted shall expire by 8 December 2022</p><p>Timelines for submission of confirmatory information amended. Proposal voted at PAFF in June 2015.</p><p><br></p><p>The original RMS was UK.</p><p><br></p>,"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32010D0132:EN:NOT"">Dossier complete 2010/132/EU</a>","<a href=""http://data.europa.eu/eli/reg_impl/2022/782/oj"">Reg. (EU) 2022/782</a>",0.03 mg/kg bw/day,EFSA 12,,0.2 mg/kg bw,EFSA 12,EFSA 12,,0.05 mg/kg bw/day,EFSA 12,,,,,,,,,,3,No,No,Yes,two PBT criteria,,,,,Isopyrazam,Annex III,Reg. (EU) No 978/2011 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0978:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=2168
829,Butylate,2008-41-5,Not approved,,,,HB - Herbicide,No,No,,,<p>Derogation HU (771/2004)</p>,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,Butylate,Annex V,Reg. (EU) No 899/2012,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R0899:EN:NOT,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/start/screen/mrls/details?lg_code=EN&pest_res_id_list=250
